,circuito,localidad,local,accesibilidad,tipo,depto,serie,desde,hasta,ap,avp,ca,pc,pca,peri,fa,is,pi,pn,pcn,core
494,26,DURAZNO,ESCUELA N° 1-EUSEBIO PIRIZ 778 ESQ. RIVERA,SÍ,URBANO,,RAB,14916.0,16409.0,0.0,0.0,0.040345821325648415,0.2910662824207493,0.002881844380403458,0.005763688760806916,0.2680115273775216,0.005763688760806916,0.023054755043227664,0.3631123919308357,0.0,0.7204610951008645
495,26,MINAS,ESCUELA N° 7-Z.MICHELLINI Y GUERNICA S/N,SÍ,URBANO,,SAA,44873.0,45571.0,0.005847953216374269,0.0,0.04093567251461988,0.2134502923976608,0.0029239766081871343,0.0,0.39766081871345027,0.02046783625730994,0.0029239766081871343,0.3128654970760234,0.0029239766081871343,0.5730994152046783
496,26,TACUAREMBÓ,CLUB DEMOCRÁTICO -18 DE JULIO 214 ESQ. ITUZAINGO,SÍ,URBANO,,TAA,56625.0,57322.0,0.0,0.0,0.04678362573099415,0.24269005847953215,0.008771929824561403,0.0029239766081871343,0.38596491228070173,0.02046783625730994,0.014619883040935672,0.2777777777777778,0.0,0.5906432748538012
497,27,,COLEGIO BILINGÜE CIUDAD VIEJA-ALZAIBAR 1328 ESQ. SARANDÍ,NO,,Montevideo,ACA,11184.0,11691.0,0.006153846153846154,0.0,0.03076923076923077,0.12923076923076923,0.003076923076923077,0.0,0.6030769230769231,0.05846153846153846,0.021538461538461538,0.1476923076923077,0.0,0.3323076923076923
498,27,CANELONES,ESCUELA N° 110-BATLLE Y ORDOÑEZ S/N ESQ VÁZQUEZ VARELA,SÍ,URBANO,Canelones,CAA,37976.0,38535.0,0.005747126436781609,0.0,0.005747126436781609,0.14367816091954022,0.008620689655172414,0.008620689655172414,0.5689655172413793,0.022988505747126436,0.031609195402298854,0.20402298850574713,0.0,0.3936781609195402
499,27,MALDONADO,IGLESIA JESUCRISTO S.U.D.-FLORIDA S/N ESQ. SAN CARLOS,SÍ,URBANO,,DAA,40194.0,40812.0,0.0,0.0,0.028409090909090908,0.23579545454545456,0.022727272727272728,0.005681818181818182,0.2556818181818182,0.048295454545454544,0.017045454545454544,0.38636363636363635,0.0,0.6903409090909091
500,27,ROCHA,INSTITUTO DE FORMACIÓN DOCENTE-25 DE AGOSTO 133,SÍ,URBANO,,EAA,51387.0,52167.0,0.0029585798816568047,0.0,0.029585798816568046,0.13609467455621302,0.0029585798816568047,0.0,0.4467455621301775,0.05621301775147929,0.008875739644970414,0.3165680473372781,0.0,0.49408284023668636
501,27,TREINTA Y TRES,INSPECCIÓN DPTAL. DE PRIMARIA -MANUEL FREIRE 1292 ESQ. ATANASIO SIERRA,NO,URBANO,,FAA,51657.0,52310.0,0.003125,0.003125,0.0125,0.1625,0.009375,0.0,0.390625,0.05,0.003125,0.365625,0.0,0.553125
502,27,MELO,"OFICINA TRASLACIONES DE DOMINIO-APARICIO SARAVIA 702 ESO, DR, LUIS A, HERRERA",SÍ,URBANO,Cerro Largo,GAD,7189.0,8157.0,0.0,0.0,0.0220125786163522,0.16037735849056603,0.0031446540880503146,0.0,0.2893081761006289,0.02830188679245283,0.025157232704402517,0.46540880503144655,0.006289308176100629,0.6761006289308176
503,27,RIVERA,LICEO N°1-NIETO CLAVERA S/N ESQ. ARTIGAS,SÍ,URBANO,,HAB,31144.0,32366.0,0.0,0.0,0.08259587020648967,0.35398230088495575,0.0,0.0029498525073746312,0.27728613569321536,0.011799410029498525,0.011799410029498525,0.25663716814159293,0.0029498525073746312,0.7050147492625369
504,27,ARTIGAS,DIR. NACIONAL DE REGISTRO-BERRETA 470,SÍ,URBANO,Artigas,IAC,50431.0,51535.0,0.005714285714285714,0.0,0.08285714285714285,0.18857142857142858,0.002857142857142857,0.0,0.26857142857142857,0.008571428571428572,0.011428571428571429,0.42,0.011428571428571429,0.7057142857142857
505,27,SALTO,LICEO N° 1-ARTIGAS S/N ESQ. CERRITO,SÍ,URBANO,,JAD,6550.0,7177.0,0.006024096385542169,0.0,0.05421686746987952,0.22590361445783133,0.006024096385542169,0.006024096385542169,0.41566265060240964,0.03313253012048193,0.006024096385542169,0.24397590361445784,0.0030120481927710845,0.536144578313253
506,27,PAYSANDÚ,COLEGIO MASTER-33 ORIENTALES 815 ESQ. SARANDI,NO,URBANO,,KAA,40882.0,41440.0,0.003205128205128205,0.0,0.00641025641025641,0.11217948717948718,0.0,0.00641025641025641,0.46474358974358976,0.035256410256410256,0.0,0.36538461538461536,0.00641025641025641,0.483974358974359
507,27,FRAY BENTOS,COLEGIO LAURELES DE LA INMACULADA-CNO. MONSEÑOR STIGLIANI S/N ESQ. CAMINO RODOLFO PINI,SÍ,URBANO,,LAA,42167.0,42806.0,0.002932551319648094,0.0,0.0469208211143695,0.17888563049853373,0.002932551319648094,0.005865102639296188,0.5249266862170088,0.02932551319648094,0.008797653958944282,0.19941348973607037,0.0,0.436950146627566
508,27,MERCEDES,ESCUELA N° 1-SÁNCHEZ E/ COLÓN Y 18 DE JULIO S/N,NO,URBANO,,MAA,56353.0,57100.0,0.002824858757062147,0.0,0.031073446327683617,0.1694915254237288,0.00847457627118644,0.0,0.4463276836158192,0.03389830508474576,0.014124293785310734,0.2937853107344633,0.0,0.5169491525423728
509,27,COLONIA,CLUB OTTO WULF - SEDE - -VENEZUELA S/N ESQ. BRASIL,NO,URBANO,,NAB,27179.0,27634.0,0.0,0.0031645569620253164,0.015822784810126583,0.17721518987341772,0.006329113924050633,0.0,0.43670886075949367,0.060126582278481014,0.012658227848101266,0.2879746835443038,0.0,0.5
510,27,SAN JOSÉ DE MAYO,"ESCUELA PÚBLICA N° 68, GUYUNUSA-BRASIL ENTRE 25 DE MAYO Y SARANDÍ",NO,URBANO,,OAC,6558.0,7327.0,0.0029498525073746312,0.0,0.02064896755162242,0.1976401179941003,0.0058997050147492625,0.008849557522123894,0.4424778761061947,0.029498525073746312,0.029498525073746312,0.26253687315634217,0.0,0.5162241887905605
511,27,TRINIDAD,ESCUELA N° 1 - FRANCISCO FONDAR S/N ESQ. GRAL. ARTIGAS,SÍ,URBANO,,PBA,1.0,12239.0,0.0038022813688212928,0.0,0.011406844106463879,0.24714828897338403,0.0,0.0,0.1520912547528517,0.011406844106463879,0.019011406844106463,0.5551330798479087,0.0,0.832699619771863
